country_code,region_code,country,region,year,min_percent_canopy_density,loss_ha,loss_percent,extent_ha,extent_percent,gain_ha,gain_percent
PER,12,Peru,Junín,2012,15,13497,0.564107043668664,2379134,53.6262633525594,518.583333333333,0.0216741876759656
PER,14,Peru,Lambayeque,2001,15,48,0.0479966402351835,99959,7.01733079014559,14,0.0139990200685952
PER,14,Peru,Lambayeque,2002,15,48,0.0480196880721096,99911,7.01396108978918,14,0.0140057423543653
PER,14,Peru,Lambayeque,2003,15,60,0.0600534475683358,99851,7.00974896434366,14,0.0140124710992784
PER,14,Peru,Lambayeque,2004,15,37,0.0370552122662768,99814,7.00715148698559,14,0.0140208911277804
PER,14,Peru,Lambayeque,2005,15,135,0.135251567916324,99679,6.99767420473316,14,0.0140260885246559
PER,14,Peru,Lambayeque,2006,15,111,0.111357457438377,99568,6.98988177265895,14,0.0140450847219575
PER,14,Peru,Lambayeque,2007,15,40,0.0401735497348546,99528,6.98707368902861,14,0.0140607424071991
PER,14,Peru,Lambayeque,2008,15,76,0.0763604211880074,99452,6.98173833013095,14,0.0140663933767382
PER,14,Peru,Lambayeque,2009,15,59,0.0593251015565298,99393,6.97759640677619,14,0.0140771427422274
PER,14,Peru,Lambayeque,2010,15,88,0.0885374221524655,99305,6.97141862278942,14,0.0140854989788013
PER,14,Peru,Lambayeque,2011,15,62,0.0624339157142138,99243,6.96706609316239,14,0.0140979809677257
PER,14,Peru,Lambayeque,2012,15,180,0.181372993561259,99063,6.95442971682583,14,0.0141067883880979
PER,15,Peru,Lima,2000,15,0,0,24761,0.707708682743238,0,0
PER,15,Peru,Lima,2001,15,3,0.0121158273090748,24758,0.707622937981385,0.833333333333333,0.0033655075858541
PER,15,Peru,Lima,2002,15,1,0.00403909847322078,24757,0.707594356394101,0.833333333333333,0.00336591539435065
PER,15,Peru,Lima,2003,15,1,0.00403926162297532,24756,0.707565774806817,0.833333333333333,0.00336605135247943
PER,15,Peru,Lima,2004,15,3,0.0121182743577315,24753,0.707480030044965,0.833333333333333,0.00336618732159207
PER,15,Peru,Lima,2005,15,1,0.0040399143538157,24752,0.70745144845768,0.833333333333333,0.00336659529484642
PER,15,Peru,Lima,2006,15,1,0.00404007756948933,24751,0.707422866870396,0.833333333333333,0.00336673130790778
PER,15,Peru,Lima,2007,15,4,0.0161609631934063,24747,0.70730854052126,0.833333333333333,0.00336686733195965
PER,15,Peru,Lima,2008,15,1,0.00404089384571867,24746,0.707279958933975,0.833333333333333,0.00336741153809889
PER,15,Peru,Lima,2009,15,1,0.00404105714054797,24745,0.707251377346691,0.833333333333333,0.00336754761712331
PER,15,Peru,Lima,2010,15,1,0.00404122044857547,24744,0.707222795759407,0.833333333333333,0.00336768370714623
PER,15,Peru,Lima,2011,15,1,0.00404138376980278,24743,0.707194214172123,0.833333333333333,0.00336781980816898
PER,15,Peru,Lima,2012,15,3,0.0121246413126945,24740,0.70710846941027,0.833333333333333,0.00336795592019292
PER,16,Peru,Loreto,2000,15,0,0,36888293,99.3429783158903,0,0
PER,16,Peru,Loreto,2001,15,17299,0.046895637052113,36870994,99.2963907933425,5968.75,0.0161806077608416
PER,16,Peru,Loreto,2002,15,14769,0.0400558769855784,36856225,99.2566167531952,5968.75,0.01618819932004
PER,16,Peru,Loreto,2003,15,10496,0.0284782285760411,36845729,99.2283502269994,5968.75,0.01619468624364
PER,16,Peru,Loreto,2004,15,23397,0.0634998970979784,36822332,99.1653403267132,5968.75,0.0161992995171842
PER,16,Peru,Loreto,2005,15,30384,0.0825151432560002,36791948,99.0835139040823,5968.75,0.0162095925918
PER,16,Peru,Loreto,2006,15,17173,0.0466759737755663,36774775,99.0372657091166,5968.75,0.0162229790061673
PER,16,Peru,Loreto,2007,15,24343,0.0661948305598063,36750432,98.9717081588893,5968.75,0.016230554775658
PER,16,Peru,Loreto,2008,15,31967,0.0869840115076742,36718465,98.8856185968751,5968.75,0.0162413056804339
PER,16,Peru,Loreto,2009,15,36027,0.0981168466601205,36682438,98.7885951461075,5968.75,0.0162554453188607
PER,16,Peru,Loreto,2010,15,31643,0.086261987275764,36650795,98.7033781407326,5968.75,0.0162714103135675
PER,16,Peru,Loreto,2011,15,22610,0.0616903398684803,36628185,98.6424876912959,5968.75,0.0162854584736839
PER,16,Peru,Loreto,2012,15,50569,0.138060348881606,36577616,98.5063015286438,5968.75,0.0162955112299449
PER,17,Peru,Madre de Dios,2000,15,0,0,8310263,98.7616559725796,0,0
PER,17,Peru,Madre de Dios,2001,15,7263,0.0873979559973012,8303000,98.6753403039505,1094.08333333333,0.013165447752175
PER,17,Peru,Madre de Dios,2002,15,5838,0.0703119354450199,8297162,98.6059597623758,1094.08333333333,0.0131769641495042
PER,17,Peru,Madre de Dios,2003,15,5876,0.0708193958367934,8291286,98.536127617413,1094.08333333333,0.0131862356469999
PER,17,Peru,Madre de Dios,2004,15,8462,0.102058956837335,8282824,98.4355626734588,1094.08333333333,0.0131955806775129
PER,17,Peru,Madre de Dios,2005,15,9475,0.11439335183266,8273349,98.3229589339213,1094.08333333333,0.0132090617081002
PER,17,Peru,Madre de Dios,2006,15,6116,0.073924114648131,8267233,98.2502745570335,1094.08333333333,0.0132241893014949
PER,17,Peru,Madre de Dios,2007,15,8772,0.106105634134178,8258461,98.1460254801762,1094.08333333333,0.0132339723984232
PER,17,Peru,Madre de Dios,2008,15,12316,0.149131902421044,8246145,97.999658445227,1094.08333333333,0.0132480293039264
PER,17,Peru,Madre de Dios,2009,15,6219,0.075417058516434,8239926,97.9257499854714,1094.08333333333,0.0132678158501134
PER,17,Peru,Madre de Dios,2010,15,13119,0.159212594870391,8226807,97.7698398578733,1094.08333333333,0.0132778295986315
PER,17,Peru,Madre de Dios,2011,15,10017,0.121760483745395,8216790,97.6507948279052,1094.08333333333,0.0132990032868564
PER,17,Peru,Madre de Dios,2012,15,16397,0.199554813984537,8200393,97.455927965932,1094.08333333333,0.0133152159582189
PER,18,Peru,Moquegua,2000,15,0,0,796,0.0506682350904262,0,0
PER,18,Peru,Moquegua,2001,15,0,0,796,0.0506682350904262,0.416666666666667,0.0523450586264657
PER,18,Peru,Moquegua,2002,15,0,0,796,0.0506682350904262,0.416666666666667,0.0523450586264657
PER,18,Peru,Moquegua,2003,15,2,0.251256281407035,794,0.0505409279670835,0.416666666666667,0.0523450586264657
PER,18,Peru,Moquegua,2004,15,0,0,794,0.0505409279670835,0.416666666666667,0.0524769101595298
PER,18,Peru,Moquegua,2005,15,0,0,794,0.0505409279670835,0.416666666666667,0.0524769101595298
PER,18,Peru,Moquegua,2006,15,0,0,794,0.0505409279670835,0.416666666666667,0.0524769101595298
PER,18,Peru,Moquegua,2007,15,0,0,794,0.0505409279670835,0.416666666666667,0.0524769101595298
PER,18,Peru,Moquegua,2008,15,0,0,794,0.0505409279670835,0.416666666666667,0.0524769101595298
PER,18,Peru,Moquegua,2009,15,0,0,794,0.0505409279670835,0.416666666666667,0.0524769101595298
PER,18,Peru,Moquegua,2010,15,2,0.251889168765743,792,0.0504136208437407,0.416666666666667,0.0524769101595298
PER,18,Peru,Moquegua,2011,15,0,0,792,0.0504136208437407,0.416666666666667,0.0526094276094276
PER,18,Peru,Moquegua,2012,15,0,0,792,0.0504136208437407,0.416666666666667,0.0526094276094276
PER,19,Peru,Pasco,2000,15,0,0,1723534,72.2253302038403,0,0
PER,19,Peru,Pasco,2001,15,3690,0.214094993194216,1719844,72.0706993880559,675,0.0391637182672346
PER,19,Peru,Pasco,2002,15,3690,0.214554343300904,1716154,71.9160685722715,675,0.0392477457257751
PER,19,Peru,Pasco,2003,15,3451,0.201089179642386,1712703,71.7714531399484,675,0.0393321345287195
PER,19,Peru,Pasco,2004,15,4151,0.242365430550422,1708552,71.5975039485335,675,0.039411386562644
PER,19,Peru,Pasco,2005,15,7372,0.431476478327847,1701180,71.2885775599257,675,0.0395071382082606
PER,19,Peru,Pasco,2006,15,5166,0.303671569146122,1696014,71.0720944178275,675,0.0396783409163052
PER,19,Peru,Pasco,2007,15,3210,0.189267305576487,1692804,70.9375781797062,675,0.0397991997707566
PER,19,Peru,Pasco,2008,15,4241,0.250531071523933,1688563,70.7598575049794,675,0.0398746694832952
